# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
26,3997,0.781550,1.795755,3.363341
27,4088,1.353509,2.501577,4.457015
27,4088,1.283050,2.286993,3.126601
28,4218,1.463750,3.330120,5.088367
29,4172,1.211443,2.945792,6.211982
30,4228,1.206126,2.998788,5.912018
31,4335,1.540351,3.078173,6.344725
32,4469,1.520716,3.083314,7.221247
33,4544,1.728524,3.203371,5.718876
34,4548,1.838182,3.028410,5.808748
35,4569,1.767478,2.858809,5.622714
36,4686,1.773415,3.293157,6.068752
36,4667,1.750150,3.155136,4.751409
36,4667,1.632339,2.883376,5.117343
36,4662,1.970969,3.897484,6.014896
36,4596,2.273357,4.475209,6.415961
36,4596,1.474480,2.820236,4.847493
35,4370,1.530431,2.565984,4.976427
37,4838,1.678149,2.945951,4.899684
37,4838,1.660739,2.681386,5.154008
37,4838,1.209697,2.281989,4.433267
38,5109,1.961628,3.362363,5.652733
38,5099,1.839090,3.052592,4.795528
36,4631,1.636083,2.625519,5.318026
36,4631,1.750518,3.028344,5.837086
36,4631,1.183158,2.294420,5.849992
36,4631,1.099121,2.266363,5.359018
38,5099,1.174682,2.290943,4.527430
38,5099,1.129043,2.315997,5.071169
38,5099,1.279355,2.613413,6.112176
36,4631,1.097425,2.282595,4.471810
36,4631,1.187010,2.385270,4.345357
38,5099,1.244329,2.352752,4.144142
36,4631,1.130195,2.196964,4.155335
38,5099,1.156498,2.273501,4.693147
36,4631,1.087908,2.231604,4.743905
36,4631,1.085676,2.169683,4.892292
38,5099,1.148746,2.267691,4.563316
38,5099,1.153564,2.283137,4.736061
38,5099,1.354454,2.602628,4.722042
38,5099,1.274534,2.358051,5.420645
38,5099,1.118705,2.329987,4.704851
38,5099,1.138043,2.193671,4.955927
38,5099,1.215436,2.289255,3.963311
38,5099,1.191631,2.254630,4.717432
38,5099,1.167322,2.301751,4.546531
38,5099,1.146178,2.239501,4.192438
38,5099,1.175738,2.290846,4.837584
36,4631,1.078723,2.192169,4.842342
36,4631,1.149018,2.209934,4.484559
39,5252,1.906093,3.349867,8.655278
39,5238,1.885090,2.934138,6.814158
39,5238,1.758587,2.702150,6.738865
39,5238,2.083014,3.425312,5.876070
39,5238,1.319508,2.537673,7.096174
39,5238,1.213126,2.502943,6.211673
39,5238,2.123256,2.904420,6.621791
39,5238,1.291178,2.473047,6.040264
39,5238,1.275052,2.463441,6.023542
39,5238,1.187540,2.414327,7.011821
37,4770,1.125584,2.359315,5.772447
