#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
172.632074,20,40,3395,11478
181.899786,16,45,2848,9305
174.885213,18,44,3090,10738
160.789059,18,45,3079,11118
195.950774,19,45,3043,10792
159.950842,18,47,2970,10477
221.758879,19,47,2997,10606
183.906276,21,46,3348,11689
167.744377,19,49,3269,10942
150.745051,17,52,3027,10074
199.293337,17,53,2896,9804
139.708179,15,56,2756,9304
148.412728,16,56,2762,9724
110.915760,16,57,2719,9992
129.579032,23,54,3334,13972
223.060228,23,55,3272,13945
389.783916,22,57,3442,14505
282.943555,19,61,3173,13209
216.937864,21,60,3442,14026
235.516537,21,61,3585,14446
241.647689,23,60,3895,15357
235.342144,21,63,3807,14934
221.021747,20,65,3691,14340
233.650877,20,66,3526,13801
274.767055,21,66,3596,14099
201.146890,18,69,3242,12334
248.615455,22,67,3837,14913
224.784081,21,68,3554,13679
197.430780,20,70,3486,13478
188.055505,16,75,3256,12841
200.763807,14,76,2759,10006
175.371065,14,77,3097,11307
180.808935,15,77,3225,11765
166.863115,15,78,2836,9419
122.686290,13,80,2514,8064
165.283694,15,79,3018,10087
198.066930,15,80,2883,9180
141.882125,13,83,2626,8226
192.999498,11,86,2553,7642
103.616810,5,90,1912,4775
73.244475,4,92,1758,4571
54.976386,3,11,1249,2210
63.553695,4,11,1368,2680
88.437787,5,11,1406,3042
77.240191,6,11,1475,3451
64.343650,7,11,1602,3961
85.724618,7,11,1597,4023
97.358226,8,11,1763,4471
90.574390,9,11,1987,4895
116.977273,10,11,2098,5262
88.985354,11,11,2087,5582
127.446799,12,11,2193,5928
104.345442,13,11,2372,6407
107.205249,14,11,2467,6782
164.029508,15,11,2604,7198
127.443994,16,11,2691,7529
157.000427,17,11,2619,7777
123.038530,17,4,2565,7858
140.355707,19,11,2837,8753
149.144478,20,11,3077,9305
158.400415,21,11,3321,9820
169.635930,14,9,2818,7981
123.592233,14,10,2784,7529
114.935289,13,11,2612,7070
98.966166,11,14,2267,6188
97.849218,11,15,2216,6107
87.968811,10,17,2055,5702
136.221137,12,16,2290,6452
89.357743,10,19,2112,5669
100.427899,9,21,1886,4696
77.025323,10,21,1877,4884
76.559165,10,22,1820,4880
97.925230,9,24,1704,4513
75.792894,9,25,1743,4646
120.752707,11,24,1976,5259
132.863298,10,26,2089,5293
133.154469,10,27,2053,5466
88.162342,10,28,1910,5327
94.467079,11,28,1997,5832
141.382603,12,28,2099,6283
111.077785,13,28,2247,6866
111.889955,13,28,2243,7052
176.004907,15,28,2665,8137
180.018589,14,22,2893,8207
152.140024,10,16,2577,7004
167.077560,8,14,2300,6091
73.256537,5,18,1729,4361
76.297910,4,19,1557,3211
104.492148,4,12,1576,2898
145.081256,5,12,1647,3288
79.320769,6,12,1679,3573
89.007781,6,7,1797,3594
90.894125,7,7,1905,3973
99.590250,8,7,2005,4364
79.322226,9,7,2123,4736
123.309959,10,7,2166,5060
88.102551,11,7,2209,5384
112.078813,11,7,2232,5512
142.476082,13,7,2457,6243
113.999277,14,7,2483,6617
112.745623,13,8,2393,6571
152.097409,14,8,2498,6975
101.239562,12,6,2308,6306
143.014038,12,7,2448,6422
142.561643,12,8,2528,6465
160.828530,14,7,2921,7660
153.683441,12,10,2536,6599
122.182821,13,10,2656,7034
126.214483,14,10,2788,7388
169.250350,15,10,2856,7762
110.011926,13,13,2504,6970
112.516698,14,13,2478,7269
131.506693,16,12,2885,8643
187.264061,18,11,2965,9003
150.056225,20,10,3140,9686
176.986998,15,16,2689,8204
150.972522,18,14,2960,9387
134.091788,16,17,2814,9195
101.020001,11,22,2078,6570
108.636738,5,29,1582,4746
69.004185,4,31,1484,3962
73.152663,5,31,1618,4372
81.533347,5,14,1629,3678
75.101840,5,9,1593,3227
82.761880,6,9,1711,3633
74.606309,6,6,1549,3372
81.922059,7,6,1617,3654
141.093594,7,5,1717,3771
72.301798,8,5,1836,4109
89.913515,8,5,1782,4007
77.754304,9,5,2049,4447
107.941206,10,5,2235,4828
104.675467,10,5,2159,4672
87.192138,11,5,2281,5024
113.578608,11,6,2295,4986
101.454864,10,7,2092,4520
78.826490,11,7,1977,4712
84.497241,12,7,2083,5190
110.586172,11,8,2037,5039
110.198639,10,10,2047,5010
158.162414,12,9,2319,5803
144.432323,11,11,2302,5825
146.477779,12,11,2360,6136
117.427449,13,11,2345,6531
89.244630,13,12,2231,6637
117.944206,15,11,2361,7439
125.204708,15,12,2401,7814
182.121421,16,12,2597,8474
127.119325,15,13,2587,8327
215.981638,16,13,2817,8924
251.544817,17,13,2971,9405
192.676142,17,13,3063,9597
222.218194,18,13,3180,9975
73.966612,5,25,1775,4792
156.445739,4,27,1612,3693
55.793937,3,7,1352,2144
70.785891,4,7,1432,2582
68.119086,5,7,1492,2986
78.181906,6,7,1645,3457
90.650835,7,7,1801,3939
97.313378,8,7,1934,4405
119.274074,8,4,1931,4358
111.430543,9,4,1955,4569
105.780341,10,4,2038,4845
122.109852,11,4,2122,5121
83.583835,10,3,2054,5081
87.228214,11,3,2054,5414
130.257828,12,3,2152,5779
93.985397,12,4,2248,5879
149.159739,14,3,2624,6650
106.362481,14,4,2501,6596
117.914925,15,4,2376,6818
115.405852,15,5,2397,6992
157.309586,15,6,2596,7206
128.210529,16,6,2893,7748
130.998563,17,6,2997,8125
125.379787,16,8,2771,7442
159.519021,15,10,2732,7216
111.219089,15,10,2592,6841
131.439757,18,9,2876,7877
165.842996,16,11,2725,7413
127.677915,18,10,2802,7871
173.691877,17,12,2770,8172
101.903725,10,20,2258,6496
94.598845,10,21,2208,6108
